id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating
552000000000000000,https://www.airbnb.com/rooms/552126406812197546,Washington Park Brownstone-Large Luxury Bedroom 2,"Enjoy a stylish experience at this centrally-located brownstone facing the famous Washington Park. The brownstone is historic, built in 1880 yet there are many modern features.  <br /><br />It is located walking distance to the Empire State Plaza, Albany Medical, downtown Albany, and more. <br /><br />Your room is private and large. It has  a large comfortable bed and a 50” smart television.<br /><br />This property is perfect for long-term stays. We host many hospital employees and short-term employees.",49100926,Clyde,15/11/15,"New York, NY",within an hour,100%,100%,f,4,4,"['email', 'phone', 'work_email']",Private room in townhouse,Private room,2,1,1 shared bath,1,1,4,4.75
554000000000000000,https://www.airbnb.com/rooms/553840513283735966,Washington Park Brownstone-Large Private Lux Rm 3,"Enjoy a stylish experience at this centrally-located brownstone facing the famous Washington Park. The brownstone is historic, built in 1880 yet there are many modern features.  <br /><br />It is located walking distance to the Empire State Plaza, Albany Medical, downtown Albany, and more. <br /><br />Your room is private and large. It has  a large comfortable bed and a 50” smart television.<br /><br />This property is perfect for long-term stays. We host many hospital employees and short-term employees.",49100926,Clyde,15/11/15,"New York, NY",within an hour,100%,100%,f,4,4,"['email', 'phone', 'work_email']",Private room in townhouse,Private room,2,1,1 shared bath,1,1,4,4.5
554000000000000000,https://www.airbnb.com/rooms/554082470790988493,Washington Park Brownstone- Large Luxury Bedroom 4,"Enjoy a stylish experience at this centrally-located brownstone facing the famous Washington Park. The brownstone is historic, built in 1880 yet there are many modern features.  <br /><br />It is located walking distance to the Empire State Plaza, Albany Medical, downtown Albany, and more. <br /><br />Your room is private and large. It has  a large comfortable bed and a 50” smart television.<br /><br />This property is perfect for long-term stays. We host many hospital employees and short-term employees.",49100926,Clyde,15/11/15,"New York, NY",within an hour,100%,100%,f,4,4,"['email', 'phone', 'work_email']",Private room in townhouse,Private room,2,1.5,1.5 shared baths,1,1,6,4.67
559000000000000000,https://www.airbnb.com/rooms/559249822516788574,Cozy 1 bedroom with office and luxurious King size,"Enjoy Pine Hills, one of the last walking communities in Albany. Walking distance to many popular restaurants, food market, hospitals, parks, schools, movie theater, pharmacy, library and laundromat. <br />Keep it simple at this peaceful, private and centrally-located place.",433884293,Uniah,28/11/21,,a few days or more,0%,0%,f,1,2,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,2,2,3
564000000000000000,https://www.airbnb.com/rooms/563711706943869398,/Purple Potty Penthouse\ 1928 Pine Hill 4Bed 1Bath,"Fully renovated and furnished apartment.  New windows, carpets with sound proofing, windows, kitchen, huge tv, laundry set, etc. :)<br /><br />5min drive to Albany Med.<br />5min walk to Madison ave bars and restaurants!<br />10min walk to price chopper grocery store.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire rental unit,Entire home/apt,7,1,1 bath,3,3,8,4.88
565000000000000000,https://www.airbnb.com/rooms/565171585673492875,Lovely 1 bed apartment close to MVP Arena,"Enjoy a stylish experience at this centrally-located place. Fully applianced kitchen, king size bed, smart tv with complimentary Netflix are a few of the luxuries you will enjoy during your stay. Generous size bathroom with oversized tub to relax in after a long day.",232967878,Diana,28/12/18,"Albany, NY",within an hour,99%,98%,t,27,39,"['email', 'phone']",Entire serviced apartment,Entire home/apt,2,1,1 bath,1,1,87,4.69
581000000000000000,https://www.airbnb.com/rooms/581057744765912905,◆UNIQUE◆ spacious LOFT with photo studio w/d!,"One-of-a-kind UNIQUE open loft apt with 13 ft ceilings, fully stocked kitchen, newly renovated walk-in shower and in-unit washer and dryer. This spacious loft comes with a queen size bed, smart TV and heat/AC. <br /><br />This unit is located on the main level of the building and is extremely spacious!",47625981,Linda,28/10/15,"Albany, NY",within an hour,99%,99%,f,17,17,"['email', 'phone']",Entire loft,Entire home/apt,2,1,1 bath,0,1,41,4.66
588000000000000000,https://www.airbnb.com/rooms/588298411730694861,Modern one bedroom with free off street parking,"Newly renovated one bedroom, loft style apartment. Centrally located in the Mansion neighborhood in albany. Huge spacious open layout with walk in closet. Big screen tvs, with super fast internet (400 mps). On-site laundry, with locked off street parking. Spectacular views of downtown Albany. Walking distance to empire state plaza, the egg, times union, and excellent bars, restaurants, and delis. Great value for anyone staying in albany long or short term.",353498132,Michael,04/07/20,"Albany, NY",within an hour,100%,93%,t,5,5,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,11,5
593000000000000000,https://www.airbnb.com/rooms/593272120497643087,Lux Suite at the Historic Jesse Buel House.,"This is Albany’s best! Enjoy a cozy stay in one of Albany’s oldest and most unique homes. This historic farmhouse was built in 1821 and completely restored and renovated in 2010. Your room is the master suite complete with a deep soaking tub, remote controlled gas fireplace, king size bed, single pull out American Leather couch, and double sinks. The pool is open from May until October. Hot tub is open year round. Enjoy a perfect romantic getaway!",382970529,Thomas,04/01/21,"Albany, NY",within an hour,100%,97%,t,12,19,['phone'],Private room in home,Private room,2,1,1 private bath,1,2,102,4.97
598000000000000000,https://www.airbnb.com/rooms/597655328370142613,Newly refurbished 2 bedroom close to Lark,"Enjoy easy access to LARK, Washington Park and walking distance to hospital and shops. Period house with quaint backyard in quiet neighborhood.The apartment was just completely refurbished with new kitchen and luxury shower. It has 2 bedrooms, wifi throughout and a lovely living room with smart TV. The kitchen has a seating area and is fully equipped for cooking with a new stainless steal stove with self cleaning oven. The second bedroom has a washer dryer unit.",30920241,Miri,09/04/15,"Albany, NY",within a few hours,100%,86%,t,3,3,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,2,2,9,5
610000000000000000,https://www.airbnb.com/rooms/610090811367811938,Cozy rental near hospitals! Off street parking,"Cozy two bedroom apartment with office space and off street parking. Located minutes from: <br />-  Albany public library<br />- st peters hospital <br />- Albany medical center<br />- Albany law school <br />- Sage college <br />-Washington park .. and more <br /><br />Walking distance to local restaurants on New Scotland ave with a variety of different food options. <br /><br />* perfect for traveling nurses, other traveling professionals, and students.",40548251,Reyana,04/08/15,"Albany, NY",within an hour,100%,90%,f,1,1,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,2,3,53,4.81
617000000000000000,https://www.airbnb.com/rooms/617242073954595468,Iconic City Center Apt in Downtown | Pets Allowed,"Discover Lark Street - A Hip Albany Neighborhood. With countless restaurants, cafes, art galleries, special events, and more, this funky arts and entertainment district is a major Albany hotspot. The Iconic Downtown Apartment is a beautifully renovated 1850s era 4 - story brick building, in the heart of Lark Street, and a perfect oasis to relax and explore. We have taken ample time to carefully craft this space with tasteful décor, to maximize its potential and ensure your enjoyment",433096110,Brian,22/11/21,"Saratoga Springs, NY",within an hour,100%,95%,t,3,5,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,138,4.93
619000000000000000,https://www.airbnb.com/rooms/618673322156725003,"Huge loft with a king bed, balcony and park views","Luxury apartment in an historic preserved building. <br /><br />Very well kept, clean, organized and specious apartment. high floor,  great view and light.<br /><br />All new appliances + hardwood floor. <br /><br />Big bedroom with a king sized bed, a guest bedroom / office with a queen sized airbed, enormous living room with stained glass windows, huge well equipped kitchen and charming balcony.<br /><br />Best location in Albany: Beautiful view of Washington Park,  walking distance anywhere + tons of comfort while staying in!",2554853,Nim,05/06/12,"New York, NY",within a day,80%,44%,t,2,2,"['email', 'phone', 'work_email']",Entire loft,Entire home/apt,3,1,1 bath,2,3,7,5
620000000000000000,https://www.airbnb.com/rooms/619695112394148331,Modern luxury one bedroom with off street parking,"Newly renovated one bedroom, loft style apartment. Centrally located in the Mansion neighborhood in albany. Huge spacious open layout with walk in closet. Big screen tvs, with super fast internet (400 mps). On-site laundry, with locked off street parking. Spectacular views of downtown Albany. Walking distance to empire state plaza, the egg, times union, and excellent bars, restaurants, and delis. Great value for anyone staying in albany long or short term.",353498132,Michael,04/07/20,"Albany, NY",within an hour,100%,93%,t,5,5,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,10,5
620000000000000000,https://www.airbnb.com/rooms/620480926228934988,"Lovely renovated, 2-bedroom home with free parking","Put your feet up and relax in this newly renovated, modern 2 bedroom home in the beautiful City of Albany .<br />Perfect for a Small family vacation, Couples getaway or Business trip. <br /><br />2 bedrooms<br />1 and half bathrooms <br />Fully equipped Kitchen <br />Dishwasher <br />Separate living area <br />58 inch smart HD TV <br />High speed WIFI <br />Washer and Dryer<br />Central heating and AC unit in every room",457678547,Najeem Adegbemiga,05/05/22,,within an hour,100%,100%,f,1,1,"['email', 'phone']",Entire home,Entire home/apt,4,1.5,1.5 baths,2,3,16,4.44
622000000000000000,https://www.airbnb.com/rooms/621960198566758900,One-of-a-Kind Luxe Urban Farmhouse w/ Heated Pool,"4800ft of living space and an epic backyard make this historic home is a true gem. The blueprints for the Jesse Buel House are in the Library of Congress…for real. The pool is enormous and there is enough patio furniture for everyone to get comfortable. Two kitchens, a billiard room, OLED TVs, luxurious mattresses, and one of the biggest couches you have ever seen make this home one of a kind. 35 minutes to Saratoga Race Track and loads of other fantastic attractions within an hour drive.",382970529,Thomas,04/01/21,"Albany, NY",within an hour,100%,97%,t,12,19,['phone'],Entire home,Entire home/apt,12,3.5,3.5 baths,4,4,11,5
623000000000000000,https://www.airbnb.com/rooms/623102454293479631,Walk everywhere! Stylish apartment for up to 5,"Stay in the heart of Albany! <br />8 min walk to Palace theater <br />10 min to top restaurants <br />12 min to the Capitol <br />12 min to Lark street <br />18 min to MVP arena <br /><br />Spacious bedroom + sleeping alcove with full size bed each + large couch, sleeps up to 5 comfortably<br /><br />Large new smart TV; fully equipped kitchen incl coffee station, air fryer, microwave; high speed wifi; fully stocked private bath;<br /><br />All basic necessities (towels, toiletries, coffee, etc) provided<br /><br />2 other units in the same building available",1176120,Julia,18/09/11,"New York, NY",within an hour,100%,99%,f,3,13,"['email', 'phone']",Entire condo,Entire home/apt,5,1,1 bath,1,2,149,4.52
625000000000000000,https://www.airbnb.com/rooms/625346918039601608,Charming Garden Apartment in Center Square,"Centrally located, steps from Lark Street and two blocks from the Empire State Plaza. A perfect location for exploring and enjoying the NYS capital. Our garden apartment is recently fully renovated with all new furniture. Apartment includes all basic amenities and multiple streaming services.",12742779,Kathryn,02/03/14,"Albany, NY",within an hour,100%,99%,t,1,1,"['email', 'phone']",Entire rental unit,Entire home/apt,3,1,1 bath,1,2,232,4.94
628000000000000000,https://www.airbnb.com/rooms/628163387057233327,★SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!★,"BEAUTIFULLY renovated and stylish apartment with CHARACTER in a brownstone building. This spacious unit features high 10 ft ceilings , a 4K Smart TV with Netflix, stocked kitchen & bathroom, high speed internet ready for you to use! Tenant permit street parking available.",47625981,Linda,28/10/15,"Albany, NY",within an hour,99%,99%,f,17,17,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,47,4.74
