listing_id,date,available,price,minimum_nights,maximum_nights
2992450,07/05/24,t,$70.00,28,1125
2992450,08/05/24,t,$70.00,28,1125
2992450,09/05/24,t,$70.00,28,1125
2992450,10/05/24,t,$70.00,28,1125
2992450,11/05/24,t,$70.00,28,1125
2992450,12/05/24,t,$70.00,28,1125
2992450,13/05/24,t,$70.00,28,1125
2992450,14/05/24,t,$70.00,28,1125
2992450,15/05/24,t,$70.00,28,1125
2992450,16/05/24,t,$70.00,28,1125
2992450,17/05/24,t,$70.00,28,1125
2992450,18/05/24,t,$70.00,28,1125
2992450,19/05/24,t,$70.00,28,1125
2992450,20/05/24,t,$70.00,28,1125
2992450,21/05/24,t,$70.00,28,1125
2992450,22/05/24,t,$70.00,28,1125
2992450,23/05/24,t,$70.00,28,1125
2992450,24/05/24,t,$70.00,28,1125
2992450,25/05/24,t,$70.00,28,1125
2992450,26/05/24,t,$70.00,28,1125
2992450,27/05/24,t,$70.00,28,1125
2992450,28/05/24,t,$70.00,28,1125
2992450,29/05/24,t,$70.00,28,1125
2992450,30/05/24,t,$70.00,28,1125
2992450,31/05/24,t,$70.00,28,1125
2992450,01/06/24,t,$70.00,28,1125
2992450,02/06/24,t,$70.00,28,1125
2992450,03/06/24,t,$70.00,28,1125
2992450,04/06/24,t,$70.00,28,1125
2992450,05/06/24,t,$70.00,28,1125
2992450,06/06/24,t,$70.00,28,1125
2992450,07/06/24,t,$70.00,28,1125
2992450,08/06/24,t,$70.00,28,1125
2992450,09/06/24,t,$70.00,28,1125
2992450,10/06/24,t,$70.00,28,1125
2992450,11/06/24,t,$70.00,28,1125
2992450,12/06/24,t,$70.00,28,1125
2992450,13/06/24,t,$70.00,28,1125
2992450,14/06/24,t,$70.00,28,1125
2992450,15/06/24,t,$70.00,28,1125
2992450,16/06/24,t,$70.00,28,1125
2992450,17/06/24,t,$70.00,28,1125
2992450,18/06/24,t,$70.00,28,1125
2992450,19/06/24,t,$70.00,28,1125
2992450,20/06/24,t,$70.00,28,1125
2992450,21/06/24,t,$70.00,28,1125
2992450,22/06/24,t,$70.00,28,1125
2992450,23/06/24,t,$70.00,28,1125
2992450,24/06/24,t,$70.00,28,1125
2992450,25/06/24,t,$70.00,28,1125
2992450,26/06/24,t,$70.00,28,1125
2992450,27/06/24,t,$70.00,28,1125
2992450,28/06/24,t,$70.00,28,1125
2992450,29/06/24,t,$70.00,28,1125
2992450,30/06/24,t,$70.00,28,1125
2992450,01/07/24,t,$70.00,28,1125
2992450,02/07/24,t,$70.00,28,1125
